measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code
20250426080640.656157_UY_webconnectivity_106bd90cd5b2ea30,https://www.casino33.co/,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080637.087787_UY_webconnectivity_c88f11ad65637eb8,https://www.voyjugando.com/,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,404
20250426080636.248222_UY_webconnectivity_011eea509660de77,https://convergame.net/,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080627.850244_UY_webconnectivity_089a56920b72f5e3,https://es.casino.guru/cairo-casino-jugar-gratis,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,200
20250426080611.881802_UY_webconnectivity_c468014392d1a49d,https://mystake.com/es/,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,403
20250426080607.782037_UY_webconnectivity_3bc92cf79d2214fd,https://faraonbet.net/,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,200
20250426080517.718700_UY_webconnectivity_1846ac885db4b486,https://www.21casino.com/,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,403
20250426080513.609429_UY_webconnectivity_72cd60b5cf925653,https://megapari.com/es,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,203
20250426080506.342153_UY_webconnectivity_11c70b0e138b2760,https://casino.netbet.com,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,403
20250426080410.534173_UY_webconnectivity_3810272d7ece899b,https://Saori.bet,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080407.981385_UY_webconnectivity_a13fd719d6978d3a,https://www.cleopatrabet.co/,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080259.060837_UY_webconnectivity_73159f7cf4bed571,https://casinohorus.bet/,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,200
20250426080219.223033_UY_webconnectivity_00fcf7bae3ec4d4a,https://www.bettycasino.space,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080208.071747_UY_webconnectivity_f7e531128d08ccca,https://www.doradobet.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,403
20250426080207.237514_UY_webconnectivity_0f4b34d28f9d50c7,https://www.luckylanespins.com,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080100.582030_UY_webconnectivity_acbccf7f7a061aa9,https://www.silverplay013.com,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.101,-1
20250426080035.511313_UY_webconnectivity_9e783335be27b188,https://www.casinocasino.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,200
20250426080032.642740_UY_webconnectivity_1f806de17f80a11a,https://www.lokicasino.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,403
20250426080034.381455_UY_webconnectivity_575cdfda256a374f,https://www.energycasino.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,200
20250426080031.718437_UY_webconnectivity_e2efa79a56f1fd4b,https://www.admiralbet.es,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,200
20250426080006.731960_UY_webconnectivity_b1efbb278eab8126,https://www.casinomagic.com.ar,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,200
20250426080003.045764_UY_webconnectivity_bb55480264716633,https://www.cloudbet.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,403
20250426075916.384341_UY_webconnectivity_5339c4054400157c,https://www.cocoacasino.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,200
20250426075915.125792_UY_webconnectivity_d59f58d7a8c0fb0d,https://www.gate777.com,None,connection_refused,inconsistent,False,AS6057,200.40.53.101,403
